Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
I;2015;23;Jahr;0;94.1232681274414;95.20457458496094;98.86422729492188;93.1622314453125;94.1734619140625;98.92620849609375;;;;def;2026-09-10T00:00:00.000+02:00
I;2015;24;1. Quartal;0;96.32695770263672;97.26615142822266;99.03440856933594;95.94913482666016;94.3153305053711;101.73226928710938;;;;def;2026-09-10T00:00:00.000+02:00
I;2015;25;2. Quartal;0;91.00223541259766;96.1157455444336;94.67984008789062;90.09310913085938;95.95711517333984;93.88893127441406;88.70037841796875;93.9834976196289;94.37867736816406;def;2026-09-10T00:00:00.000+02:00
I;2015;26;3. Quartal;0;90.28600311279297;97.59838104248047;92.50768280029297;90.17029571533203;97.55037689208984;92.4345932006836;99.21294403076172;101.54254913330078;97.70578002929688;def;2026-09-10T00:00:00.000+02:00
I;2015;27;4. Quartal;0;98.87788391113281;96.4668960571289;102.4992904663086;96.37681579589844;94.32685852050781;102.17324829101562;109.51629638671875;98.8406753540039;110.80084228515625;def;2026-09-10T00:00:00.000+02:00
I;2015;28;1. Halbjahr;0;93.66459655761719;96.6039047241211;96.95735931396484;93.01217651367188;95.05653381347656;97.84931945800781;;;;def;2026-09-10T00:00:00.000+02:00
I;2015;29;2. Halbjahr;0;94.58193969726562;95.71780395507812;98.81332397460938;93.31131744384766;94.703857421875;98.52957916259766;93.31131744384766;94.703857421875;98.52957916259766;def;2026-09-10T00:00:00.000+02:00
I;2016;1;Januar;0;86.95028686523438;95.94049072265625;90.62939453125;97.48619079589844;97.1180419921875;100.37907409667969;93.9701156616211;99.36402130126953;94.57157135009766;def;2026-09-10T00:00:00.000+02:00
I;2016;2;Februar;0;93.19525146484375;94.8395767211914;98.26619720458984;98.90834045410156;97.98925018310547;100.93795013427734;107.18222045898438;98.85250091552734;108.4264144897461;def;2026-09-10T00:00:00.000+02:00
I;2016;3;März;0;106.5999755859375;96.25948333740234;110.7423095703125;100.98079681396484;98.88848876953125;102.1158218383789;114.38349151611328;101.4971694946289;112.69623565673828;def;2026-09-10T00:00:00.000+02:00
I;2016;4;April;0;105.87677001953125;96.595947265625;109.6078872680664;114.42276000976562;99.64920043945312;114.82556915283203;99.32157135009766;100.34953308105469;98.97561645507812;def;2026-09-10T00:00:00.000+02:00
I;2016;5;Mai;0;94.30879211425781;97.56305694580078;96.6644515991211;114.55126953125;100.96121978759766;113.46066284179688;89.07411193847656;101.0011978149414;88.19114685058594;def;2026-09-10T00:00:00.000+02:00
I;2016;6;Juni;0;100.28301239013672;97.13029479980469;103.24586486816406;102.17675018310547;100.85380554199219;101.3117446899414;106.3347396850586;99.55642700195312;106.80850982666016;def;2026-09-10T00:00:00.000+02:00
I;2016;7;Juli;0;100.83126831054688;96.14057159423828;104.8790054321289;102.3452377319336;97.52226257324219;104.94551086425781;100.54671478271484;98.98103332519531;101.58179473876953;def;2026-09-10T00:00:00.000+02:00
I;2016;8;August;0;89.59494018554688;100.54002380371094;89.11370086669922;115.01325225830078;103.51313018798828;111.10982513427734;88.8563003540039;104.57606506347656;84.96810150146484;def;2026-09-10T00:00:00.000+02:00
I;2016;9;September;0;98.61527252197266;97.87568664550781;100.7556381225586;104.4237289428711;95.23673248291016;109.646484375;110.06790924072266;97.3499755859375;113.06414031982422;def;2026-09-10T00:00:00.000+02:00
I;2016;10;Oktober;0;103.83246612548828;98.75068664550781;105.14607238769531;102.955810546875;101.04118347167969;101.89490509033203;105.29045104980469;100.89398956298828;104.35751342773438;def;2026-09-10T00:00:00.000+02:00
I;2016;11;November;0;104.01448059082031;99.02888488769531;105.03448486328125;100.73802947998047;99.28266906738281;101.46587371826172;100.17529296875;100.28172302246094;99.89386749267578;def;2026-09-10T00:00:00.000+02:00
I;2016;12;Dezember;0;93.91112518310547;99.97526550292969;93.93436431884766;101.49293518066406;103.54277038574219;98.02030181884766;90.28659057617188;100.95565795898438;89.43193054199219;def;2026-09-10T00:00:00.000+02:00
I;2016;23;Jahr;0;98.16780090332031;96.61431121826172;101.6079330444336;104.29705810546875;101.48074340820312;102.77522277832031;;;;def;2026-09-10T00:00:00.000+02:00
I;2016;24;1. Quartal;0;95.58184051513672;95.54473114013672;100.0388412475586;99.22647094726562;98.23019409179688;101.01422882080078;;;;def;2026-09-10T00:00:00.000+02:00
I;2016;25;2. Quartal;0;100.15618896484375;96.89370727539062;103.36707305908203;110.05904388427734;100.80940246582031;109.17537689208984;101.29281616210938;100.44244384765625;100.84662628173828;def;2026-09-10T00:00:00.000+02:00
